Modos de Falha,Efeitos de Falha,Causa da Falha,Ação Preventiva Recomendada/Troubleshooting,_mode_n,_effect_n
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de elevação trepidadando ao subir e servomotor com overheating,Baixa isolação do servomotor,Medir e efetuar a troca - Troubleshooting,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de elevacao trepidadando ao subir e servomotor com overheating
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de elevação trepidadando ao subir e servomotor com overheating,Contatoras não atracando,Validar e efetuar a troca - Troubleshooting,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de elevacao trepidadando ao subir e servomotor com overheating
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de elevação trepidadando ao subir e servomotor com overheating,Freio do servo desajustado,Verificar e ajustar conforme especificação do fornecedor - Troubleshooting,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de elevacao trepidadando ao subir e servomotor com overheating
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de elevação trepidadando ao subir e servomotor com overheating,Falta de lubricação das guias,Inspecionar e lubrificar - Troubleshooting,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de elevacao trepidadando ao subir e servomotor com overheating
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de elevação trepidadando ao subir e servomotor com overheating,Rolamentos da guia danificados,Inspecionar se os rolamentos estão travadoa ou com folga,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de elevacao trepidadando ao subir e servomotor com overheating
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de elevação trepidadando ao subir e servomotor com overheating,Chapa guia solta ou danificada,Reapertar parafusos - Troubleshooting,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de elevacao trepidadando ao subir e servomotor com overheating
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de elevação trepidadando ao subir e servomotor com overheating,Placa de potência do inversor falhando,Identificar tensão de trabalho e Verificar valores na saida do inversor,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de elevacao trepidadando ao subir e servomotor com overheating
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de elevação trepidadando ao subir e servomotor com overheating,Placa de comunicação falhando,Validar através de teste e efetuar a troca - Troubleshooting,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de elevacao trepidadando ao subir e servomotor com overheating
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de elevação trepidadando ao subir e servomotor com overheating,Placa de sinal de encoder sem troca de dados,Validar através de teste e efetuar a troca - Troubleshooting,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de elevacao trepidadando ao subir e servomotor com overheating
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de elevação trepidadando ao subir e servomotor com overheating,Cartão de memória com parâmetros e configurações sem informação,Carregar backup - Troubleshooting,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de elevacao trepidadando ao subir e servomotor com overheating
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de elevação trepidadando ao subir e servomotor com overheating,Resistor de frenagem danificado,Verificar resistência de acordo com o específicado - Troubleshooting,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de elevacao trepidadando ao subir e servomotor com overheating
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de elevação trepidadando ao subir e servomotor com overheating,Cabo de rede profinet sem transferência de dados,Validar e efetuar a troca - Troubleshooting,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de elevacao trepidadando ao subir e servomotor com overheating
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de elevação trepidadando ao subir e servomotor com overheating,Cabos de sinal I/O sem sinal elétrico,Validar e efetuar a troca - Troubleshooting,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de elevacao trepidadando ao subir e servomotor com overheating
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de elevação trepidadando ao subir e servomotor com overheating,Cabos de potência com rompimento físico,Passar cabo por fora até trocar o cabo,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de elevacao trepidadando ao subir e servomotor com overheating
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de elevação trepidadando ao subir e servomotor com overheating,Conectores dos cabos de potencia oxidados e/ou pinos danificados,Limpar com limpa contato - Troubleshooting,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de elevacao trepidadando ao subir e servomotor com overheating
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de elevação trepidadando ao subir e servomotor com overheating,Cabos de encoder com rompimento físico,Validar e efetuar a troca - Troubleshooting,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de elevacao trepidadando ao subir e servomotor com overheating
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de elevação trepidadando ao subir e servomotor com overheating,Conectores dos cabos de encoder oxidados e/ou pinos danificados,Validar e efetuar a troca - Troubleshooting,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de elevacao trepidadando ao subir e servomotor com overheating
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de translação não movimenta,Correia dentada de tração rompida ou danificada,Substituir correia,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de translacao nao movimenta
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de translação não movimenta,Tensão da correia inadequada,Fazer a medição e corrigir,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de translacao nao movimenta
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de translação não movimenta,Acoplamento de fixação da coluna da caixa de luz na correia dentada sem torque nos parafusos.,Inspecionar e corrigir,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de translacao nao movimenta
Caixa de luz demora ou não se posiciona em frente ao farol para início dos ajustes,Sistema de translação não movimenta,Polias motora e movida daniificadas ou com agarramento,Inspecionar e trocar,caixa de luz demora ou nao se posiciona em frente ao farol para inicio dos ajustes,sistema de translacao nao movimenta
Dificuldade de regulagem o farol,Atrasos na operação,Câmera fora de posição,Validar e efetuar o ajuste - Troubleshooting,dificuldade de regulagem o farol,atrasos na operacao
Dificuldade de regulagem o farol,Atrasos na operação,Câmera com lente suja,Abrir a caixa de luz e fazer a limpeza - Troubleshooting,dificuldade de regulagem o farol,atrasos na operacao
Dificuldade de regulagem o farol,Atrasos na operação,Cãmera com ajuste de foco inadequado,Abrir a caixa de luz e fazer os ajustes - Troubleshooting,dificuldade de regulagem o farol,atrasos na operacao
Dificuldade de regulagem o farol,Atrasos na operação,Falha de comunicação entre câmera e aplicação,Validar e corrigir - Troubleshooting,dificuldade de regulagem o farol,atrasos na operacao
Dificuldade de regulagem o farol,Atrasos na operação,"Fundo de referência sujo, danificada e mal fixado.",Abrir a caixa de luz e fazer a limpeza e/ou troca - Troubleshooting,dificuldade de regulagem o farol,atrasos na operacao
Dificuldade de regulagem o farol,Atrasos na operação,Cabos de comunição e alimentação rompidos/danificados,Validar e efetuar a troca - Troubleshooting,dificuldade de regulagem o farol,atrasos na operacao
Não envia valores do ângulo do volante para aplicacçao X-Wheel no PC,Parada do processo automaticamente durante o ciclo,SteeringWheelBalancer - left  ERR_NoValidCalValues_CalNecessary,Realizar calibração do dispositivo de alinhamento do volante durante a ação corretiva,nao envia valores do angulo do volante para aplicaccao x wheel no pc,parada do processo automaticamente durante o ciclo
Não envia valores do ângulo do volante para aplicacçao X-Wheel no PC,Parada do processo automaticamente durante o ciclo,ERR_WrongSWBPParaSettings  AutoStopMeasure,Seguir FOS Nº 229 para realizar o pareamento do dispositivo de alinamento de volante com a aplicação X-Wheel no PC,nao envia valores do angulo do volante para aplicaccao x wheel no pc,parada do processo automaticamente durante o ciclo
Elevadores não sobem/descem,Não inicia/finaliza testes dinâmicos de veículo,Aplicativo do sistema travado,Reiniciar aplicação,elevadores nao sobem descem,nao inicia finaliza testes dinamicos de veiculo
Elevadores não sobem/descem,Não inicia/finaliza testes dinâmicos de veículo,Alimentação elétrica extra baixa tensão (24vdc),Medição de tenção na saída de fonte,elevadores nao sobem descem,nao inicia finaliza testes dinamicos de veiculo
